Date,Open,High,Low,Close,Volume
2016-12-17,785.17,792.51,784.86,790.83,78989800
2016-12-18,791.01,794.74,788.03,790.53,60524400
2016-12-19,790.69,793.61,790.32,792.71,74886400
2016-12-20,792.25,801.34,791.50,800.88,99629296
2016-12-21,800.64,834.28,799.41,834.28,155576000
2016-12-22,834.18,875.78,834.15,864.54,200027008
2016-12-23,864.89,925.12,864.68,921.98,275564000
2016-12-24,922.18,923.48,886.34,898.82,137727008
2016-12-25,899.65,899.65,862.42,896.18,143664992
2016-12-26,896.91,913.18,896.90,907.61,123771000
2016-12-27,908.35,940.05,904.26,933.20,167308000
2016-12-28,934.83,975.92,934.83,975.92,236630000
2016-12-29,975.13,979.40,954.50,973.50,199320000
2016-12-30,972.53,972.53,934.83,961.24,187474000
2016-12-31,960.63,963.74,947.24,963.74,99135104
2017-01-01,963.66,1003.08,958.70,998.33,147775008
2017-01-02,998.62,1031.39,996.70,1021.75,222184992
2017-01-03,1021.60,1044.08,1021.60,1043.84,185168000
2017-01-04,1044.40,1159.42,1044.40,1154.73,344945984
2017-01-05,1156.73,1191.10,910.42,1013.38,510199008
2017-01-06,1014.24,1046.81,883.94,902.20,351876000
2017-01-07,903.49,908.59,823.56,908.59,279550016
2017-01-08,908.17,942.72,887.25,911.20,158715008
2017-01-09,913.24,913.69,879.81,902.83,141876992
2017-01-10,902.44,914.87,901.06,907.68,115808000
2017-01-11,908.11,919.45,762.77,777.76,310928992
2017-01-12,775.18,826.25,755.76,804.83,222326000
2017-01-13,803.74,829.00,780.00,823.98,168968000
2017-01-14,825.14,835.09,812.46,818.41,93063296
2017-01-15,818.14,823.31,812.87,821.80,71013600
2017-01-16,821.78,834.53,820.27,831.53,82755200
2017-01-17,830.95,910.56,830.80,907.94,155095008
2017-01-18,909.37,917.50,858.30,886.62,225676992
2017-01-19,888.34,904.61,884.34,899.07,105625000
2017-01-20,898.17,899.40,887.01,895.03,86728400
2017-01-21,895.55,927.37,895.53,921.79,111158000
2017-01-22,922.21,937.53,897.56,924.67,116573000
2017-01-23,925.50,928.27,916.74,921.01,73588600
2017-01-24,910.68,924.15,892.29,892.69,111349000
2017-01-25,891.92,903.25,891.69,901.54,120831000
2017-01-26,902.40,919.33,902.22,917.59,131958000
2017-01-27,918.36,923.22,915.85,919.75,125594000
2017-01-28,919.81,923.91,919.81,921.59,68979600
2017-01-29,922.07,923.42,919.15,919.50,60851700
2017-01-30,920.15,923.05,919.47,920.38,78227296
2017-01-31,920.96,972.02,920.96,970.40,164582000
2017-02-01,970.94,989.11,970.74,989.02,150110000
2017-02-02,990.00,1013.52,983.22,1011.80,145820992
2017-02-03,1011.46,1033.87,1008.79,1029.91,201278000
2017-02-04,1031.33,1045.90,1015.16,1042.90,155064000
2017-02-05,1043.52,1043.63,1022.37,1027.34,114208000
2017-02-06,1028.40,1044.64,1028.16,1038.15,111762000
2017-02-07,1040.14,1061.93,1040.14,1061.35,146007008
2017-02-08,1062.32,1078.97,1037.49,1063.07,201855008
2017-02-09,1064.70,1088.99,953.34,994.38,407220000
2017-02-10,995.63,998.91,946.69,988.67,190452000
2017-02-11,988.90,1009.29,982.83,1004.45,102261000
2017-02-12,1003.52,1004.76,996.92,999.18,67530000
2017-02-13,998.89,1002.10,976.00,990.64,100607000
2017-02-14,991.73,1011.51,986.47,1004.55,137946000
2017-02-15,1006.21,1008.84,1001.58,1007.48,89759400
2017-02-16,1007.65,1033.37,1007.65,1027.44,122277000
2017-02-17,1026.12,1053.17,1025.64,1046.21,136474000
2017-02-18,1049.21,1061.10,1046.96,1054.42,99073504
2017-02-19,1054.76,1056.81,1043.46,1047.87,77423296
2017-02-20,1048.69,1080.49,1041.69,1079.98,109478000
2017-02-21,1079.28,1117.25,1076.93,1115.30,186868992
2017-02-22,1114.80,1125.39,1100.55,1117.44,136100000
2017-02-23,1117.27,1176.62,1116.96,1166.72,189454000
2017-02-24,1172.71,1200.39,1131.96,1173.68,330759008
2017-02-25,1170.41,1174.85,1124.59,1143.84,139960992
2017-02-26,1144.27,1167.47,1130.20,1165.20,116486000
2017-02-27,1163.78,1181.98,1163.38,1179.97,131570000
2017-02-28,1180.72,1193.25,1171.82,1179.97,184956000
2017-03-01,1180.04,1222.50,1179.69,1222.50,229056992
2017-03-02,1224.68,1262.13,1215.62,1251.01,368275008
2017-03-03,1250.71,1280.31,1250.71,1274.99,315739008
2017-03-04,1277.43,1279.40,1230.51,1255.15,183270000
2017-03-05,1254.29,1267.29,1238.06,1267.12,134127000
2017-03-06,1267.47,1276.00,1264.60,1272.83,153656992
2017-03-07,1273.21,1275.55,1204.80,1223.54,291256000
2017-03-08,1223.23,1232.16,1148.08,1150.00,332603008
2017-03-09,1150.35,1197.46,1141.23,1188.49,212283008
2017-03-10,1189.36,1270.47,1077.25,1116.72,563795968
2017-03-11,1116.32,1193.83,1116.32,1175.83,283320000
2017-03-12,1176.62,1226.98,1175.36,1221.38,227176000
2017-03-13,1221.78,1237.37,1217.03,1231.92,380276992
2017-03-14,1232.16,1244.81,1220.72,1240.00,245306000
2017-03-15,1240.16,1251.61,1239.75,1249.61,297804992
2017-03-16,1251.33,1257.98,1152.44,1187.81,638568000
2017-03-17,1180.16,1180.16,1099.57,1100.23,706598976
2017-03-18,1099.69,1114.07,957.66,973.82,621302016
2017-03-19,976.73,1069.91,976.73,1036.74,406648000
2017-03-20,1037.24,1063.03,1036.68,1054.23,286529984
2017-03-21,1055.36,1122.43,1055.36,1120.54,337391008
2017-03-22,1120.65,1120.65,1014.21,1049.14,380840992
2017-03-23,1050.05,1058.01,1028.93,1038.59,248540000
2017-03-24,1038.45,1040.47,934.36,937.52,491038016
2017-03-25,936.54,975.76,903.71,972.78,435803008
2017-03-26,974.02,1007.96,954.19,966.72,303668000
2017-03-27,972.05,1046.40,971.98,1045.77,372535008
2017-03-28,1044.58,1064.65,1027.73,1047.15,326332000
2017-03-29,1046.08,1055.13,1015.88,1039.97,298457984
2017-03-30,1042.21,1049.29,1020.04,1026.43,352968992
2017-03-31,1026.64,1074.92,1026.64,1071.79,447287008
2017-04-01,1071.71,1091.72,1061.09,1080.50,289633984
2017-04-02,1080.61,1107.59,1075.45,1102.17,514187008
2017-04-03,1102.95,1151.74,1102.95,1143.81,580444032
2017-04-04,1145.52,1156.44,1120.52,1133.25,436310016
2017-04-05,1134.14,1135.09,1113.63,1124.78,414784000
2017-04-06,1125.81,1188.37,1125.81,1182.68,511222016
2017-04-07,1178.94,1186.58,1163.39,1176.90,317022016
2017-04-08,1172.65,1184.98,1162.58,1175.95,209312000
2017-04-09,1176.57,1197.21,1171.86,1187.87,242343008
2017-04-10,1187.30,1190.34,1179.04,1187.13,215883008
2017-04-11,1187.46,1208.07,1187.46,1205.01,216182000
2017-04-12,1204.81,1207.14,1196.76,1200.37,288702016
2017-04-13,1201.02,1205.89,1156.44,1169.28,351968992
2017-04-14,1170.33,1190.80,1159.79,1167.54,254827008
2017-04-15,1167.30,1188.00,1164.96,1172.52,203559008
2017-04-16,1172.61,1187.22,1172.61,1182.94,183231008
2017-04-17,1183.25,1194.90,1172.65,1193.91,253206000
2017-04-18,1193.77,1217.57,1193.77,1211.67,270524000
2017-04-19,1212.13,1215.51,1205.08,1210.29,288060992
2017-04-20,1211.08,1240.79,1208.41,1229.08,315108000
2017-04-21,1229.42,1235.94,1215.56,1222.05,272167008
2017-04-22,1222.71,1235.56,1208.47,1231.71,249320000
2017-04-23,1231.92,1232.20,1203.94,1207.21,258951008
2017-04-24,1209.63,1250.94,1209.63,1250.15,235806000
2017-04-25,1250.45,1267.58,1249.97,1265.49,242556000
2017-04-26,1265.99,1294.83,1265.93,1281.08,329631008
2017-04-27,1281.88,1319.70,1281.30,1317.73,449196992
2017-04-28,1317.74,1331.28,1292.37,1316.48,527488992
2017-04-29,1317.84,1327.20,1315.21,1321.79,422705984
2017-04-30,1321.87,1347.91,1314.92,1347.89,413115008
2017-05-01,1348.30,1434.32,1348.30,1421.60,713624000
2017-05-02,1421.03,1473.90,1415.69,1452.82,477337984
2017-05-03,1453.78,1492.77,1447.49,1490.09,583795968
2017-05-04,1490.72,1608.91,1490.72,1537.67,933548992
2017-05-05,1540.87,1618.03,1530.31,1555.45,946035968
2017-05-06,1556.81,1578.80,1542.50,1578.80,582529984
2017-05-07,1579.47,1596.72,1559.76,1596.71,1080029952
2017-05-08,1596.92,1723.35,1596.92,1723.35,1340320000
2017-05-09,1723.89,1833.49,1716.30,1755.36,1167920000
2017-05-10,1756.52,1788.44,1719.10,1787.13,915723008
2017-05-11,1780.37,1873.93,1755.35,1848.57,799489984
2017-05-12,1845.76,1856.15,1694.01,1724.24,740984000
2017-05-13,1723.12,1812.99,1651.08,1804.91,579635008
2017-05-14,1800.86,1831.42,1776.62,1808.91,437196000
2017-05-15,1808.44,1812.80,1708.54,1738.43,731529024
2017-05-16,1741.70,1785.94,1686.54,1734.45,959044992
2017-05-17,1726.73,1864.05,1661.91,1839.09,1064729984
2017-05-18,1818.70,1904.48,1807.12,1888.65,894321024
2017-05-19,1897.37,2004.52,1890.25,1987.71,1157289984
2017-05-20,1984.24,2084.73,1974.92,2084.73,961336000
2017-05-21,2067.03,2119.08,2037.50,2041.20,1147859968
2017-05-22,2043.19,2303.90,2017.87,2173.40,1942220032
2017-05-23,2191.56,2320.82,2178.50,2320.42,1378749952
2017-05-24,2321.37,2523.72,2321.37,2443.64,1725379968
2017-05-25,2446.24,2763.71,2285.30,2304.98,2406700032
2017-05-26,2320.89,2573.79,2071.99,2202.42,1763480064
2017-05-27,2196.27,2260.20,1855.83,2038.87,1700480000
2017-05-28,2054.08,2267.34,2054.08,2155.80,1147139968
2017-05-29,2159.43,2307.05,2107.17,2255.61,994625024
2017-05-30,2255.36,2301.96,2124.57,2175.47,1443970048
2017-05-31,2187.19,2311.08,2145.57,2286.41,1544829952
2017-06-01,2288.33,2448.39,2288.33,2407.88,1653180032
2017-06-02,2404.03,2488.55,2373.32,2488.55,1317030016
2017-06-03,2493.72,2581.91,2423.57,2515.35,1514950016
2017-06-04,2547.79,2585.89,2452.54,2511.81,1355120000
2017-06-05,2512.40,2686.81,2510.22,2686.81,1369309952
2017-06-06,2690.84,2999.91,2690.84,2863.20,2089609984
2017-06-07,2869.38,2869.38,2700.56,2732.16,1517709952
2017-06-08,2720.49,2815.30,2670.95,2805.62,1281170048
2017-06-09,2807.44,2901.71,2795.62,2823.81,1348950016
2017-06-10,2828.14,2950.99,2746.55,2947.71,2018889984
2017-06-11,2942.41,2996.60,2840.53,2958.11,1752400000
2017-06-12,2953.22,2997.26,2518.56,2659.63,2569530112
2017-06-13,2680.91,2789.04,2650.38,2717.02,1781200000
2017-06-14,2716.88,2786.83,2412.94,2506.37,1696560000
2017-06-15,2499.58,2534.71,2212.96,2464.58,2026259968
2017-06-16,2469.57,2539.92,2385.15,2518.56,1195190016
2017-06-17,2514.01,2685.19,2484.96,2655.88,1534509952
2017-06-18,2655.35,2662.10,2516.33,2548.29,1178659968
2017-06-19,2549.03,2662.85,2549.03,2589.60,1446840064
2017-06-20,2591.26,2763.45,2589.82,2721.79,1854189952
2017-06-21,2709.43,2772.01,2660.40,2689.10,1626579968
2017-06-22,2691.03,2723.74,2642.36,2705.41,1097939968
2017-06-23,2707.34,2765.17,2706.37,2744.91,961318976
2017-06-24,2738.52,2757.94,2583.19,2608.72,982750016
2017-06-25,2607.25,2682.26,2552.12,2589.41,1161100032
2017-06-26,2590.57,2615.25,2376.29,2478.45,1663280000
2017-06-27,2478.45,2552.45,2332.99,2552.45,1489789952
2017-06-28,2553.03,2603.98,2484.42,2574.79,1183869952
2017-06-29,2567.56,2588.83,2510.48,2539.32,949979008
2017-06-30,2539.24,2559.25,2478.43,2480.84,860273024
2017-07-01,2492.60,2515.27,2419.23,2434.55,779913984
2017-07-02,2436.40,2514.28,2394.84,2506.47,803747008
2017-07-03,2498.56,2595.00,2480.47,2564.06,964112000
2017-07-04,2561.00,2631.59,2559.35,2601.64,985516032
2017-07-05,2602.87,2622.65,2538.55,2601.99,941566016
2017-07-06,2608.10,2616.72,2581.69,2608.56,761956992
2017-07-07,2608.59,2916.14,2498.87,2518.66,917411968
2017-07-08,2520.27,2571.34,2492.31,2571.34,733329984
2017-07-09,2572.61,2635.49,2517.59,2518.44,527856000
2017-07-10,2525.25,2537.16,2321.13,2372.56,1111200000
2017-07-11,2385.89,2413.47,2296.81,2337.79,1329760000
2017-07-12,2332.77,2423.71,2275.14,2398.84,1117410048
2017-07-13,2402.70,2425.22,2340.83,2357.90,835769984
2017-07-14,2360.59,2363.25,2183.22,2233.34,882502976
2017-07-15,2230.12,2231.14,1990.41,1998.86,993608000
2017-07-16,1991.98,2058.77,1843.03,1929.82,1182870016
2017-07-17,1932.62,2230.49,1932.62,2228.41,1201760000
2017-07-18,2233.52,2387.61,2164.77,2318.88,1512450048
2017-07-19,2323.08,2397.17,2260.23,2273.43,1245100032
2017-07-20,2269.89,2900.70,2269.89,2817.60,2249260032
2017-07-21,2838.41,2838.41,2621.85,2667.76,1489449984
2017-07-22,2668.63,2862.42,2657.71,2810.12,1177129984
2017-07-23,2808.10,2832.18,2653.94,2730.40,1072840000
2017-07-24,2732.70,2777.26,2699.19,2754.86,866473984
2017-07-25,2757.50,2768.08,2480.96,2576.48,1460089984
2017-07-26,2577.77,2610.76,2450.80,2529.45,937404032
2017-07-27,2538.71,2693.32,2529.34,2671.78,789104000
2017-07-28,2679.73,2897.45,2679.73,2809.01,1380099968
2017-07-29,2807.02,2808.76,2692.80,2726.45,803745984
2017-07-30,2724.39,2758.53,2644.85,2757.18,705942976
2017-07-31,2763.24,2889.62,2720.61,2875.34,860574976
