Date,Open,High,Low,Close,Adj Close,Volume
2015-12-29,766.69,779.98,766.43,776.60,776.60,1765000
2015-12-30,776.60,777.60,766.90,771.00,771.00,1293300
2015-12-31,769.50,769.50,758.34,758.88,758.88,1500900
2016-01-04,743.00,744.06,731.26,741.84,741.84,3272800
2016-01-05,746.45,752.00,738.64,742.58,742.58,1950700
2016-01-06,730.00,747.18,728.92,743.62,743.62,1947000
2016-01-07,730.31,738.50,719.06,726.39,726.39,2963700
2016-01-08,731.45,733.23,713.00,714.47,714.47,2450900
2016-01-11,716.61,718.85,703.54,716.03,716.03,2090600
2016-01-12,721.68,728.75,717.32,726.07,726.07,2024500
2016-01-13,730.85,734.74,698.61,700.56,700.56,2501700
2016-01-14,705.38,721.92,689.10,714.72,714.72,2225800
2016-01-15,692.29,706.74,685.37,694.45,694.45,3608100
2016-01-19,703.30,709.98,693.41,701.79,701.79,2268100
2016-01-20,688.61,706.85,673.26,698.45,698.45,3445000
2016-01-21,702.18,719.19,694.46,706.59,706.59,2412200
2016-01-22,723.60,728.13,720.12,725.25,725.25,2011800
2016-01-25,723.58,729.68,710.01,711.67,711.67,1711700
2016-01-26,713.85,718.28,706.48,713.04,713.04,1331700
2016-01-27,713.67,718.23,694.39,699.99,699.99,2194200
2016-01-28,722.22,733.69,712.35,730.96,730.96,2676400
2016-01-29,731.53,744.99,726.80,742.95,742.95,3474300
2016-02-01,750.46,757.86,743.27,752.00,752.00,5139200
2016-02-02,784.50,789.87,764.65,764.65,764.65,6348100
2016-02-03,770.22,774.50,720.50,726.95,726.95,6171000
2016-02-04,722.81,727.00,701.86,708.01,708.01,5168700
2016-02-05,703.87,703.99,680.15,683.57,683.57,5105700
2016-02-08,667.85,684.03,663.06,682.74,682.74,4247400
2016-02-09,672.32,699.90,668.77,678.11,678.11,3608900
2016-02-10,686.86,701.31,682.13,684.12,684.12,2638000
2016-02-11,675.00,689.35,668.87,683.11,683.11,3024000
2016-02-12,690.26,693.75,678.60,682.40,682.40,2141400
2016-02-16,692.98,698.00,685.05,691.00,691.00,2520000
2016-02-17,698.09,709.75,691.38,708.40,708.40,2492600
2016-02-18,710.00,712.35,696.03,697.35,697.35,1883200
2016-02-19,695.03,703.08,694.05,700.91,700.91,1589300
2016-02-22,707.45,713.24,702.51,706.46,706.46,1949800
2016-02-23,701.45,708.40,693.58,695.85,695.85,2009300
2016-02-24,688.92,700.00,680.78,699.56,699.56,1963600
2016-02-25,700.01,705.98,690.59,705.75,705.75,1642200
2016-02-26,708.58,713.43,700.86,705.07,705.07,2243500
2016-02-29,700.32,710.89,697.68,697.77,697.77,2481100
