Date,Open,High,Low,Close,Adj Close,Volume
2015-12-29,677.98,696.44,677.89,693.97,693.97,5735000
2015-12-30,691.89,695.49,686.38,689.07,689.07,3519000
2015-12-31,686.08,687.75,675.89,675.89,675.89,3749600
2016-01-04,656.29,657.72,627.51,636.99,636.99,9314500
2016-01-05,646.86,646.91,627.65,633.79,633.79,5822600
2016-01-06,622.00,639.79,620.31,632.65,632.65,5329200
2016-01-07,621.80,630.00,605.21,607.94,607.94,7074900
2016-01-08,619.66,624.14,606.00,607.05,607.05,5512900
2016-01-11,612.48,619.85,598.57,617.74,617.74,4891600
2016-01-12,625.25,625.99,612.24,617.89,617.89,4724100
2016-01-13,620.88,620.88,579.16,581.81,581.81,7655200
2016-01-14,580.25,602.25,569.88,593.00,593.00,7238000
2016-01-15,572.24,584.62,565.30,570.18,570.18,7784500
2016-01-19,577.09,584.00,566.45,574.48,574.48,4807200
2016-01-20,564.36,578.45,547.18,571.77,571.77,7966400
2016-01-21,573.58,588.81,568.22,575.02,575.02,4952200
2016-01-22,588.73,600.10,584.11,596.38,596.38,5120100
2016-01-25,597.99,608.50,594.56,596.53,596.53,4396100
2016-01-26,603.45,604.50,590.38,601.25,601.25,3765700
2016-01-27,601.99,603.39,578.78,583.35,583.35,5152900
2016-01-28,608.37,638.06,597.55,635.35,635.35,14015200
2016-01-29,571.98,593.00,570.00,587.00,587.00,14677600
2016-02-01,578.15,581.80,570.31,574.81,574.81,6355100
2016-02-02,570.00,571.56,550.09,552.10,552.10,6312000
2016-02-03,553.50,556.00,521.90,531.07,531.07,10048700
2016-02-04,525.00,538.99,519.22,536.26,536.26,6199100
2016-02-05,529.28,529.45,499.19,502.13,502.13,9708900
2016-02-08,486.47,493.50,475.21,488.10,488.10,9825500
2016-02-09,478.01,498.38,474.00,482.07,482.07,7077900
2016-02-10,491.76,504.66,486.00,490.48,490.48,6786200
2016-02-11,491.17,509.30,484.00,503.82,503.82,7397400
2016-02-12,510.70,516.75,501.49,507.08,507.08,5384800
2016-02-16,519.48,524.45,511.66,521.10,521.10,5118500
