Date,Open,High,Low,Close,Adj Close,Volume
2015-12-18,46.58,47.18,45.86,46.09,46.09,15071000
2015-12-21,46.34,47.17,46.22,46.51,46.51,9766000
2015-12-22,47.00,47.31,45.93,45.99,45.99,9807500
2015-12-23,46.44,46.69,45.63,45.94,45.94,7775000
2015-12-24,46.11,46.38,45.66,46.11,46.11,3540000
2015-12-28,46.30,46.40,45.11,45.79,45.79,9506500
2015-12-29,46.01,47.54,45.91,47.44,47.44,12031500
2015-12-30,47.32,48.73,47.13,47.62,47.62,18489500
2015-12-31,47.70,48.69,47.67,48.00,48.00,13575000
2016-01-04,46.14,46.28,43.80,44.68,44.68,34135500
2016-01-05,45.27,45.38,44.00,44.69,44.69,15934000
2016-01-06,44.00,44.01,43.20,43.81,43.81,18895500
2016-01-07,42.84,43.69,42.73,43.13,43.13,17771500
2016-01-08,43.57,44.09,42.15,42.20,42.20,18140500
2016-01-11,42.80,42.89,40.60,41.57,41.57,20457000
2016-01-12,42.32,42.75,41.06,41.99,41.99,15459500
2016-01-13,42.40,42.53,40.00,40.06,40.06,20632000
2016-01-14,40.44,42.00,38.68,41.24,41.24,32453500
2016-01-15,39.79,41.01,39.45,41.00,41.00,27893000
2016-01-19,41.74,42.09,40.16,40.94,40.94,20193500
2016-01-20,39.88,40.26,38.25,39.74,39.74,29193000
2016-01-21,40.31,40.65,39.00,39.99,39.99,15831000
2016-01-22,40.96,41.10,39.81,40.51,40.51,15620500
2016-01-25,40.01,40.71,39.18,39.28,39.28,13493500
2016-01-26,39.34,39.56,37.78,38.71,38.71,24821000
2016-01-27,38.48,38.65,37.15,37.61,37.61,18086000
2016-01-28,38.16,38.26,36.48,37.94,37.94,22964000
2016-01-29,37.99,38.75,37.62,38.24,38.24,14261500
2016-02-01,37.75,39.90,36.55,39.39,39.39,26488000
2016-02-02,38.48,38.62,36.05,36.56,36.56,28868000
2016-02-03,36.72,36.79,34.04,34.70,34.70,39657000
2016-02-04,34.14,35.20,33.40,35.07,35.07,21927000
2016-02-05,34.26,34.60,31.55,32.52,32.52,47188000
2016-02-08,31.42,31.43,29.20,29.60,29.60,46565000
2016-02-09,28.46,31.96,28.21,29.65,29.65,43258000
2016-02-10,30.10,30.99,28.35,28.73,28.73,52032500
2016-02-11,30.40,32.65,29.40,30.09,30.09,71262000
2016-02-12,31.00,31.40,28.74,30.21,30.21,36179000
2016-02-16,31.74,32.59,30.82,31.03,31.03,27969000
2016-02-17,31.80,33.87,31.34,33.74,33.74,29126000
2016-02-18,34.48,34.59,32.95,33.35,33.35,19438000
2016-02-19,32.73,33.50,32.50,33.32,33.32,14797000
2016-02-22,34.02,35.78,33.97,35.55,35.55,25300500
2016-02-23,35.23,36.35,34.74,35.44,35.44,29922000
2016-02-24,34.55,35.90,33.57,35.80,35.80,26978000
2016-02-25,35.73,37.70,35.04,37.49,37.49,28753500
2016-02-26,37.74,38.40,37.00,38.07,38.07,30325500
2016-02-29,38.48,39.27,37.84,38.39,38.39,22495000
2016-03-01,38.85,39.19,36.54,37.27,37.27,33561000
2016-03-02,36.75,37.70,36.30,37.67,37.67,24312000
2016-03-03,37.66,39.48,36.84,39.15,39.15,24145000
2016-03-04,39.60,40.81,39.50,40.21,40.21,32445500
2016-03-07,39.54,41.94,39.48,41.06,41.06,26647000
2016-03-08,40.70,41.50,40.44,40.52,40.52,20893500
2016-03-09,40.90,41.87,40.56,41.74,41.74,16043000
2016-03-10,42.00,42.66,40.13,41.04,41.04,25962500
2016-03-11,41.59,41.88,41.07,41.50,41.50,16715500
2016-03-14,42.53,43.34,42.13,43.03,43.03,20328500
2016-03-15,42.85,43.79,42.30,43.67,43.67,15902500
2016-03-16,43.60,44.52,43.40,44.39,44.39,17583500
2016-03-17,44.29,45.70,44.00,45.28,45.28,18914500
2016-03-18,45.82,46.90,45.61,46.55,46.55,23559000
2016-03-21,47.07,47.98,47.00,47.66,47.66,26539000
2016-03-22,47.44,47.80,46.51,46.85,46.85,21580000
2016-03-23,46.47,46.95,44.41,44.52,44.52,24744000
2016-03-24,43.16,45.78,43.00,45.55,45.55,24804500
2016-03-28,46.32,46.96,45.00,46.05,46.05,19628500
2016-03-29,45.98,46.48,45.07,46.03,46.03,20071500
2016-03-30,47.02,47.10,45.30,45.38,45.38,20165000
2016-03-31,45.87,47.48,45.00,45.95,45.95,40064500
2016-04-01,48.97,49.58,46.65,47.52,47.52,79987500
2016-04-04,49.82,50.42,48.73,49.40,49.40,67376500
2016-04-05,48.10,51.31,48.00,51.09,51.09,49743500
2016-04-06,50.79,53.55,50.69,53.08,53.08,58527500
2016-04-07,53.29,53.87,50.90,51.44,51.44,44281000
2016-04-08,52.10,52.16,49.60,50.01,50.01,36819500
2016-04-11,50.20,51.80,49.06,49.98,49.98,45808500
